match_id,match_seq_num,radiant_win,start_time,duration,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,first_blood_time,positive_votes,negative_votes,radiant_score,dire_score
2305543358,2020376800,False,1461071609,2898,0,1974,0,63,125,0,0,,
2305561969,2020370219,False,1461072089,2305,0,1982,0,63,323,0,0,,
2305570287,2020373058,True,1461072269,2295,2047,0,63,0,147,0,0,,
2305563857,2020375024,False,1461072139,2266,6,1844,3,63,225,0,0,,
2305541501,2020375552,False,1461071585,2852,0,1924,0,51,5,0,0,,
2305554237,2020370985,True,1461071896,2459,1844,0,63,0,165,0,0,,
2305553713,2020371073,True,1461071875,2640,1958,0,63,0,49,0,0,,
2305474843,2020348694,False,1461069824,3847,0,772,48,51,100,0,0,,
2305506505,2020372410,False,1461070646,3651,0,1796,0,51,38,0,0,,
2305606131,2020371440,True,1461073171,1354,2047,0,63,0,52,0,0,,
2305545355,2020375666,False,1461071684,2815,0,2046,0,63,176,0,0,,
2305550066,2020376683,False,1461071797,2723,0,1972,0,63,8,0,0,,
2305517730,2020378863,True,1461070943,3530,1796,388,51,51,144,0,0,,
2305602369,2020383053,False,1461073105,1774,0,2047,12,63,87,0,0,,
2305571602,2020371366,False,1461072327,2122,0,1974,0,63,133,0,0,,
2305544550,2020374656,False,1461071667,2990,256,1830,50,63,122,0,0,,
2305504034,2020375901,True,1461070568,3708,1796,0,51,0,73,0,0,,
2305544671,2020377352,True,1461071665,3055,0,262,1,51,18,0,0,,
2305567806,2020348659,True,1461072205,1500,2047,0,63,0,111,0,0,,
2305516733,2020373115,True,1461070905,3342,512,0,48,0,2,0,0,,
2305562767,2020374091,True,1461072108,2458,1572,0,63,0,307,0,0,,
2305543048,2020376171,False,1461071627,2961,0,1974,0,63,81,0,0,,
2305589631,2020372346,True,1461072778,1577,1854,256,63,48,158,0,0,,
2305637404,2020379102,True,1461073935,705,2047,2047,63,63,537,0,0,,
2305572117,2020376199,False,1461072338,2295,0,1983,0,63,122,0,0,,
2305564120,2020371790,False,1461072139,2368,0,1972,0,63,243,0,0,,
2305555505,2020372443,True,1461071923,2354,1976,0,63,0,26,0,0,,
2305594588,2020374420,True,1461072888,1563,2047,0,63,0,165,0,0,,
2305547271,2020376311,True,1461071705,2858,1844,4,63,3,109,0,0,,
2305611083,2020380415,True,1461073303,1310,2047,260,63,51,299,0,0,,
2305526063,2020369913,False,1461071146,3226,6,1828,3,63,250,0,0,,
2305568321,2020372391,True,1461072250,2371,1959,4,63,3,140,0,0,,
2305551087,2020373216,False,1461071810,2780,0,1974,0,63,144,0,0,,
2305578402,2020374706,False,1461072503,2137,0,2046,0,63,193,0,0,,
2305568372,2020376218,True,1461072252,2054,1974,256,63,48,9,0,0,,
2305608925,2020377190,False,1461073241,1449,263,2047,51,63,7,0,0,,
2305500597,2020372778,False,1461070491,3852,0,1830,0,63,87,0,0,,
2305581994,2020378552,True,1461072595,2083,2039,0,63,0,113,0,0,,
2305564377,2020380720,True,1461072145,2219,2039,0,63,0,283,0,0,,
2305552931,2020383183,True,1461071863,2722,1974,0,63,0,89,0,0,,
2305528854,2020374018,True,1461071227,3225,1796,6,51,3,104,0,0,,
2305556301,2020361435,True,1461071959,1606,1982,0,63,16,6,0,0,,
2305601235,2020377363,False,1461073078,1617,6,2038,3,63,213,0,0,,
2305566781,2020381442,False,1461072212,2378,0,1846,0,63,0,0,0,,
2305579384,2020374418,True,1461072514,2008,1983,4,63,3,90,0,0,,
2305560969,2020374697,False,1461072042,2622,7,1824,3,63,253,0,0,,
2305539360,2020379046,True,1461071521,3239,1926,0,63,48,156,0,0,,
2305553861,2020381501,True,1461071882,2959,1982,0,63,0,59,0,0,,
2304279921,2019325032,True,1461010292,6365,1536,6,14,35,78,0,0,,
2305541536,2020379117,False,1461071577,3227,0,1958,0,63,195,0,0,,
2305551404,2020378511,True,1461071831,2817,1830,0,63,48,88,0,0,,
2305530406,2020375021,True,1461071278,3398,1792,262,48,51,480,0,0,,
2305620165,2020376336,False,1461073520,1169,0,2047,0,63,46,0,0,,
2305586592,2020374832,False,1461072703,1943,0,2046,0,63,26,0,0,,
2305580873,2020377623,True,1461072566,2012,1974,0,63,0,247,0,0,,
2305600357,2020375274,True,1461073058,1443,1983,388,63,51,5,0,0,,
2305558689,2020376053,True,1461072005,2382,1924,0,55,0,123,0,0,,
2305609990,2020378799,True,1461073275,1314,2046,390,63,51,2,0,0,,
2305544339,2020379377,False,1461071655,2874,0,2036,0,63,9,0,0,,
2305548065,2020375368,True,1461071749,2918,1828,0,63,0,60,0,0,,
2305561507,2020376381,False,1461072075,2274,256,1798,48,63,54,0,0,,
2305539696,2020378146,False,1461071536,3007,0,2038,0,63,78,0,0,,
2305516651,2020381568,False,1461070912,3702,0,1956,0,63,0,0,0,,
2305525523,2020374568,True,1461071151,2743,1958,0,63,0,107,0,0,52,33
2305550443,2020376497,False,1461071795,2716,0,1958,0,63,183,0,0,,
2305531266,2020376210,False,1461071306,3054,0,1830,0,63,284,0,0,,
2305573204,2020379158,False,1461072368,2196,0,1974,0,63,18,0,0,,
2305541725,2020380671,True,1461071587,3188,1830,0,63,0,149,0,0,,
2305554969,2020375276,False,1461071909,2575,0,1796,0,63,153,0,0,,
2305576216,2020374833,False,1461072449,2157,0,1972,0,63,95,0,0,,
2305567980,2020375816,False,1461072239,2219,0,1974,0,63,141,0,0,,
2305571852,2020378102,False,1461072333,2470,0,1974,0,63,113,0,0,,
2305609904,2020376914,True,1461073271,1434,2046,4,63,3,108,0,0,,
2305559634,2020379194,False,1461072034,2675,0,1844,0,63,169,0,0,,
2305563830,2020377089,True,1461072136,2316,1983,0,63,48,2,0,0,,
2305526120,2020363742,True,1461071175,2496,1924,0,63,0,324,0,0,,
2305583770,2020380448,True,1461072638,1995,1982,0,63,0,129,0,0,,
2305533568,2020368373,True,1461071383,2542,1972,0,63,0,142,0,0,,
2305511769,2020375023,False,1461070790,3350,0,1828,0,63,125,0,0,,
2305658217,2020383760,False,1461074464,474,2039,2047,63,63,408,0,0,,
2305582332,2020381135,False,1461072569,1624,6,1982,3,63,91,0,0,,
2305613897,2020382920,True,1461073366,1463,1983,388,63,51,173,0,0,,
2305615267,2020383933,True,1461073404,1506,2046,0,63,0,21,0,0,,
2305560952,2020374931,False,1461072047,2526,6,1972,3,63,22,0,0,,
2305551675,2020376727,False,1461071829,2578,4,1972,3,63,140,0,0,,
2305612643,2020379111,False,1461073337,1450,0,2039,0,63,688,0,0,,
2305641506,2020380109,True,1461074027,763,2047,1983,63,63,100,0,0,,
2305518691,2020372462,False,1461070977,2956,0,1540,0,3,28,0,0,,
2305575592,2020386466,True,1461072430,2582,1982,260,63,51,267,0,0,46,15
2305553739,2020375859,False,1461071887,2757,0,1972,0,63,134,0,0,,
2305564881,2020378926,False,1461072158,2622,0,2016,0,63,156,0,0,,
2305536448,2020348933,False,1461071461,1629,1536,2039,0,63,0,0,0,,
2305586303,2020380483,True,1461072667,1838,2046,0,63,0,0,0,0,,
2305552289,2020377188,False,1461071836,2661,0,1958,0,63,5,0,0,,
2305476874,2020383115,True,1461069877,4968,516,256,3,49,17,0,0,,
2305581384,2020386915,True,1461072575,2153,2039,0,63,8,265,0,0,,
2305531675,2020375480,False,1461071316,3329,0,1830,0,63,319,0,0,,
2305543027,2020379641,False,1461071619,2999,0,1926,0,63,137,0,0,,
2305575042,2020380594,False,1461072424,2219,0,1974,0,63,80,0,0,,
2305621959,2020384357,True,1461073523,1244,2046,0,63,0,107,0,0,,
2305544178,2020377513,False,1461071656,2973,6,1792,3,48,129,0,0,,
2305552171,2020379820,True,1461071843,2788,1974,0,63,0,0,0,0,,
2305584731,2020379399,True,1461072656,2084,2047,0,63,0,135,0,0,,
2305587974,2020382197,True,1461072741,1995,2047,0,63,0,311,0,0,,
2305620539,2020383914,False,1461073526,1411,384,2047,48,63,20,0,0,,
1823211699,1617467783,True,1443331317,1591,2047,256,63,48,190,0,0,,
1828276566,1621311271,True,1443500083,1896,1982,0,63,0,217,0,0,,
2305546243,2020377742,False,1461071709,2892,0,1956,0,63,217,0,0,,
2305523541,2020377421,False,1461071091,3462,0,1828,0,63,125,0,0,,
2305568753,2020381323,True,1461072261,2502,2039,0,63,0,7,0,0,,
2305624887,2020380955,True,1461073627,1189,2046,390,63,51,184,0,0,,
2305580935,2020383637,False,1461072561,2103,0,1846,0,63,151,0,0,,
